date,mmm_yy,week_no
01-Apr-22,Apr 22,W 14
03-Apr-22,Apr 22,W 15
04-Apr-22,Apr 22,W 15
05-Apr-22,Apr 22,W 15
06-Apr-22,Apr 22,W 15
07-Apr-22,Apr 22,W 15
08-Apr-22,Apr 22,W 15
09-Apr-22,Apr 22,W 15
10-Apr-22,Apr 22,W 16
11-Apr-22,Apr 22,W 16
12-Apr-22,Apr 22,W 16
13-Apr-22,Apr 22,W 16
14-Apr-22,Apr 22,W 16
15-Apr-22,Apr 22,W 16
16-Apr-22,Apr 22,W 16
02-Apr-22,Apr 22,W 14
17-Apr-22,Apr 22,W 17
18-Apr-22,Apr 22,W 17
19-Apr-22,Apr 22,W 17
20-Apr-22,Apr 22,W 17
21-Apr-22,Apr 22,W 17
22-Apr-22,Apr 22,W 17
23-Apr-22,Apr 22,W 17
24-Apr-22,Apr 22,W 18
25-Apr-22,Apr 22,W 18
26-Apr-22,Apr 22,W 18
27-Apr-22,Apr 22,W 18
28-Apr-22,Apr 22,W 18
29-Apr-22,Apr 22,W 18
30-Apr-22,Apr 22,W 18
16-Aug-22,Aug 22,W 34
01-Aug-22,Aug 22,W 32
02-Aug-22,Aug 22,W 32
03-Aug-22,Aug 22,W 32
04-Aug-22,Aug 22,W 32
05-Aug-22,Aug 22,W 32
06-Aug-22,Aug 22,W 32
07-Aug-22,Aug 22,W 33
08-Aug-22,Aug 22,W 33
09-Aug-22,Aug 22,W 33
10-Aug-22,Aug 22,W 33
11-Aug-22,Aug 22,W 33
12-Aug-22,Aug 22,W 33
13-Aug-22,Aug 22,W 33
14-Aug-22,Aug 22,W 34
15-Aug-22,Aug 22,W 34
17-Aug-22,Aug 22,W 34
18-Aug-22,Aug 22,W 34
19-Aug-22,Aug 22,W 34
20-Aug-22,Aug 22,W 34
21-Aug-22,Aug 22,W 35
22-Aug-22,Aug 22,W 35
23-Aug-22,Aug 22,W 35
24-Aug-22,Aug 22,W 35
25-Aug-22,Aug 22,W 35
26-Aug-22,Aug 22,W 35
27-Aug-22,Aug 22,W 35
28-Aug-22,Aug 22,W 36
29-Aug-22,Aug 22,W 36
30-Aug-22,Aug 22,W 36
