date,city_code,company,atliqo_revenue_crores,arpu,active_users_lakhs,unsubscribed_users_lakhs
01-Jan-22,400001,Atliqo,60.69,192,31.61,1.9
01-Jan-22,110001,Atliqo,42.71,175,24.41,1.31
01-Jan-22,700001,Atliqo,36.91,175,21.09,1.25
01-Jan-22,560001,Atliqo,37.4,175,21.37,1.39
01-Jan-22,600001,Atliqo,30.8,203,15.17,1.12
01-Jan-22,500001,Atliqo,28.25,183,15.44,0.78
01-Jan-22,411001,Atliqo,24.22,200,12.11,1.08
01-Jan-22,380001,Atliqo,20.97,165,12.71,0.62
01-Jan-22,302001,Atliqo,22.21,189,11.75,0.52
01-Jan-22,226001,Atliqo,11.86,198,5.99,0.45
01-Jan-22,800008,Atliqo,14.59,188,7.76,0.39
01-Jan-22,641001,Atliqo,7.82,212,3.69,0.28
01-Jan-22,160017,Atliqo,6.35,185,3.43,0.17
01-Jan-22,122001,Atliqo,5.32,181,2.94,0.25
01-Jan-22,492001,Atliqo,4.27,191,2.24,0.16
01-Feb-22,400001,Atliqo,61.19,169,36.21,2.71
01-Feb-22,110001,Atliqo,54.18,189,28.67,1.85
01-Feb-22,700001,Atliqo,39.48,175,22.56,1.75
01-Feb-22,560001,Atliqo,47.06,189,24.9,1.22
01-Feb-22,600001,Atliqo,55.9,206,27.14,1.68
01-Feb-22,500001,Atliqo,34.47,193,17.86,1.13
01-Feb-22,411001,Atliqo,28.66,190,15.08,0.72
01-Feb-22,380001,Atliqo,20.63,171,12.06,0.74
01-Feb-22,302001,Atliqo,15.67,199,7.87,0.55
01-Feb-22,226001,Atliqo,24.77,210,11.8,0.55
01-Feb-22,800008,Atliqo,11.72,208,5.63,0.32
01-Feb-22,641001,Atliqo,11.94,170,7.02,0.41
01-Feb-22,160017,Atliqo,6.34,162,3.91,0.17
01-Feb-22,122001,Atliqo,9.45,187,5.05,0.27
01-Feb-22,492001,Atliqo,4.23,168,2.52,0.16
01-Mar-22,400001,Atliqo,57.28,213,26.89,2.33
01-Mar-22,110001,Atliqo,48.98,171,28.64,2.52
01-Mar-22,700001,Atliqo,67.31,187,35.99,2.2
01-Mar-22,560001,Atliqo,41.87,166,25.22,1.59
01-Mar-22,600001,Atliqo,30.5,211,14.45,0.91
01-Mar-22,500001,Atliqo,27.95,211,13.25,0.78
01-Mar-22,411001,Atliqo,30.83,201,15.34,1.1
01-Mar-22,380001,Atliqo,28.95,206,14.05,0.75
01-Mar-22,302001,Atliqo,17.1,186,9.19,0.81
01-Mar-22,226001,Atliqo,14.93,212,7.04,0.3
01-Mar-22,800008,Atliqo,10.62,197,5.39,0.47
01-Mar-22,641001,Atliqo,17.12,206,8.31,0.61
01-Mar-22,160017,Atliqo,7.51,202,3.72,0.25
01-Mar-22,122001,Atliqo,6.04,181,3.34,0.19
01-Mar-22,492001,Atliqo,3.46,197,1.76,0.15
01-Apr-22,400001,Atliqo,65.24,213,30.63,2.64
01-Apr-22,110001,Atliqo,50.51,191,26.45,2.02
01-Apr-22,700001,Atliqo,48.85,198,24.67,1.73
01-Apr-22,560001,Atliqo,42.34,169,25.05,1.51
01-Apr-22,600001,Atliqo,32.93,192,17.15,1.46
01-Apr-22,500001,Atliqo,27.96,199,14.05,1.17
01-Apr-22,411001,Atliqo,45.93,209,21.98,1.44
01-Apr-22,380001,Atliqo,23.94,163,14.69,1.21
01-Apr-22,302001,Atliqo,15.11,206,7.33,0.35
01-Apr-22,226001,Atliqo,13.27,193,6.88,0.42
01-Apr-22,800008,Atliqo,11.81,177,6.67,0.53
01-Apr-22,641001,Atliqo,8.79,212,4.15,0.25
01-Apr-22,160017,Atliqo,10.48,181,5.79,0.44
01-Apr-22,122001,Atliqo,6.31,185,3.41,0.2
01-Apr-22,492001,Atliqo,3.72,181,2.06,0.1
01-Jun-22,400001,Atliqo,62.09,193,32.17,2.41
01-Jun-22,110001,Atliqo,42.12,198,21.27,2.28
01-Jun-22,700001,Atliqo,36.77,199,18.48,1.79
01-Jun-22,560001,Atliqo,38.02,242,15.71,1.14
01-Jun-22,600001,Atliqo,30.55,198,15.43,1.63
01-Jun-22,500001,Atliqo,28.09,224,12.54,1.02
01-Jun-22,411001,Atliqo,24.69,199,12.41,1.28
01-Jun-22,380001,Atliqo,20.84,205,10.17,1.1
01-Jun-22,302001,Atliqo,22.85,251,9.1,0.96
01-Jun-22,226001,Atliqo,12.29,219,5.61,0.59
01-Jun-22,800008,Atliqo,15.07,252,5.98,0.44
01-Jun-22,641001,Atliqo,7.9,236,3.35,0.26
01-Jun-22,160017,Atliqo,6.41,199,3.22,0.26
01-Jun-22,122001,Atliqo,5.5,197,2.79,0.25
01-Jun-22,492001,Atliqo,4.37,255,1.71,0.15
01-Jul-22,400001,Atliqo,59.9,243,24.65,1.86
01-Jul-22,110001,Atliqo,51.3,240,21.38,2.11
01-Jul-22,700001,Atliqo,38.12,169,22.56,1.77
01-Jul-22,560001,Atliqo,46.11,186,24.79,2.02
01-Jul-22,600001,Atliqo,53.87,196,27.48,2.54
01-Jul-22,500001,Atliqo,33.32,164,20.32,2.17
