date,city_code,plans,plan_revenue_crores
01-Jan-22,400001,p1,6.26
01-Jan-22,110001,p1,4.58
01-Jan-22,700001,p1,4.29
01-Jan-22,560001,p1,4.26
01-Jan-22,600001,p1,3.6
01-Jan-22,500001,p1,3.26
01-Jan-22,411001,p1,2.27
01-Jan-22,380001,p1,2.68
01-Jan-22,302001,p1,2.46
01-Jan-22,226001,p1,1.64
01-Jan-22,800008,p1,1.8
01-Jan-22,641001,p1,0.81
01-Jan-22,160017,p1,0.73
01-Jan-22,122001,p1,0.48
01-Jan-22,492001,p1,0.49
01-Feb-22,400001,p1,7.86
01-Feb-22,110001,p1,5.43
01-Feb-22,700001,p1,5.36
01-Feb-22,560001,p1,5.47
01-Feb-22,600001,p1,7.02
01-Feb-22,500001,p1,4.16
01-Feb-22,411001,p1,3.44
01-Feb-22,380001,p1,2.22
01-Feb-22,302001,p1,1.51
01-Feb-22,226001,p1,3.17
01-Feb-22,800008,p1,1.4
01-Feb-22,641001,p1,1.33
01-Feb-22,160017,p1,0.54
01-Feb-22,122001,p1,0.9
01-Feb-22,492001,p1,0.47
01-Mar-22,400001,p1,5.66
01-Mar-22,110001,p1,5.84
01-Mar-22,700001,p1,7.54
01-Mar-22,560001,p1,4.97
01-Mar-22,600001,p1,3.33
01-Mar-22,500001,p1,3.37
01-Mar-22,411001,p1,4.18
01-Mar-22,380001,p1,2.99
01-Mar-22,302001,p1,1.88
01-Mar-22,226001,p1,1.8
01-Mar-22,800008,p1,1.06
01-Mar-22,641001,p1,1.96
01-Mar-22,160017,p1,0.94
01-Mar-22,122001,p1,0.66
01-Mar-22,492001,p1,0.38
01-Apr-22,400001,p1,5.6
01-Apr-22,110001,p1,4.66
01-Apr-22,700001,p1,4.51
01-Apr-22,560001,p1,5.13
01-Apr-22,600001,p1,4.53
01-Apr-22,500001,p1,3.01
01-Apr-22,411001,p1,5.52
01-Apr-22,380001,p1,3.45
01-Apr-22,302001,p1,1.83
01-Apr-22,226001,p1,1.7
01-Apr-22,800008,p1,1.48
01-Apr-22,641001,p1,1.08
01-Apr-22,160017,p1,1.22
01-Apr-22,122001,p1,0.64
01-Apr-22,492001,p1,0.46
01-Jun-22,400001,p1,9.83
01-Jun-22,110001,p1,6.18
01-Jun-22,700001,p1,5.64
01-Jun-22,560001,p1,5.94
01-Jun-22,600001,p1,4.63
01-Jun-22,500001,p1,4.07
01-Jun-22,411001,p1,3.51
01-Jun-22,380001,p1,3.07
01-Jun-22,302001,p1,2.93
01-Jun-22,226001,p1,1.78
01-Jun-22,800008,p1,2.61
01-Jun-22,641001,p1,1.05
01-Jun-22,160017,p1,0.94
01-Jun-22,122001,p1,0.73
01-Jun-22,492001,p1,0.67
01-Jul-22,400001,p1,8.71
01-Jul-22,110001,p1,8.32
01-Jul-22,700001,p1,5.59
01-Jul-22,560001,p1,6.83
01-Jul-22,600001,p1,9.07
01-Jul-22,500001,p1,5.83
01-Jul-22,411001,p1,3.66
01-Jul-22,380001,p1,2.86
01-Jul-22,302001,p1,2.26
01-Jul-22,226001,p1,3.37
01-Jul-22,800008,p1,1.52
01-Jul-22,641001,p1,1.68
01-Jul-22,160017,p1,0.92
01-Jul-22,122001,p1,1.47
01-Jul-22,492001,p1,0.7
01-Aug-22,400001,p1,7.68
01-Aug-22,110001,p1,7.48
01-Aug-22,700001,p1,11.46
